row_id	status	notes	screenshots
M-CANDIDATES-09	BLOCKED	Only the empty branch ('No pool history yet') ever renders; the populated arm is unreachable while F-CANOPY-027 holds. Scored BLOCKED rather than PASS(empty branch) deliberately — a negative-arm pass is not evidence the gate works (cf. F-CANOPY-025 hiding for five segments behind a deny-only PASS).	—
M-CANDIDATES-10	BLOCKED	DEAD-EXPECTED row, but the control does not render: 0 nodes matching id *history-pool-header* in the DOM, because pool history never populates under F-CANOPY-027. Per the arc rule a control that does not render cannot be scored DEAD-CONFIRMED — BLOCKED with reason, not N-A, not blank.	—
M-CANDIDATES-11	BLOCKED	Same as -10: 0 nodes matching id *history-pool-collapse*. The per-epoch collapse only exists inside a history card, and no history card is ever built (F-CANOPY-027).	—
M-EVOLUTION-04	PASS	Clicked network-evolution-clear-btn to empty the store; after 11.6s the empty state rendered block 920x160 with the exact documented text '🌱No snapshots yet — start training to record cascade growth.' and stats fell back to 'No snapshots yet'. Correctly ABSENT beforehand (1 snapshot present).	—
M-EVOLUTION-07	BLOCKED	MANUAL / FA-4. network-evolution-weight-norms-container stays display:none 0x0; it is revealed only when replay-weight-buffer has entries, which requires driving a full V2 replay playback session. Not attempted this segment; the plot element exists but is 0x0 under its hidden parent.	—
M-BOUNDARIES-01	PASS(resolution)/FAIL(re-render)	Slider reads min 50 / max 200, value 100; ArrowRight on the focused [role=slider] thumb (no updatemode -> Dash-default mouseup) moved it to 125 (step 25 ✓) in 3.4s and triggered a boundary refetch whose mesh is visibly denser — first-row spacing 0.441 at res 50 vs 0.219 after — proving ?resolution= took effect. The second documented clause, re-rendering the plot, never happens (F-CANOPY-027).	—
M-BOUNDARIES-02	BLOCKED	The checkbox toggles correctly (checked true->false with its React _valueTracker following), but show-confidence's only observable is the re-render of decision-boundary-plot, and that callback never fires (F-CANOPY-027). The confidence-shading arm cannot be observed.	—
M-BOUNDARIES-03	BLOCKED	Clicking refresh cannot be attributed: the on-tab poll fills decision-boundary-boundary-data continuously (12 fills/61s before the click, 22/60s with it), so no single refetch is isolable, and the render arm is dead under F-CANOPY-027. Not scored PASS on an unattributable refill.	—
M-BOUNDARIES-04	FAIL	Stuck at 'Status: No network loaded' for >2min while GET /api/decision_boundary?resolution=50 returns a full xx meshgrid and cascor reports current_hidden_units 7. Status is written with the figure at decision_boundary.py:173 by update_boundary_plot, which never emits (F-CANOPY-027) — 0 -status outputs across 356 responses.	—
M-BOUNDARIES-05	PASS	Plot renders 900x800 with a live plotly modebar (Download PNG / Zoom / Pan / Zoom in / Zoom out / Autoscale / Reset axes). 'Plotly-native only' verified in source: zero relayoutData/clickData/hoverData occurrences in decision_boundary.py and no graph-event Input for decision-boundary-plot in dashboard_manager.py.	—
M-BOUNDARIES-06	PASS	Tab-gated fill proven both ways: 0 decision-boundary-dataset-data outputs across 126 responses while on the Replay tab, then 10 outputs once Decision Boundary became active.	—
M-BOUNDARIES-07	BLOCKED	MANUAL / FA-4, LIVE lane. Requires a V2 replay session so replay-weight-buffer recomputes the boundary via the allow_duplicate path (:235-252). No replay playback driven this segment.	—
M-BOUNDARIES-08	PASS	Poll gate holds: on the Replay tab, 126 _dash-update-component responses in 30s carried ZERO decision-boundary outputs (-boundary-data, -plot, -status, -dataset-data all 0). No background traffic, exactly as dashboard_manager.py:6556-6561 specifies.	—
M-PARAMETERS-04	PASS	22 {'type':'param-pin'} checkboxes found. Pinning learning_rate produced the wire response pinned-params-store data ['learning_rate'] — the carried value in the RESPONSE, not merely a request naming the id. GESTURE SOLVED (see notes): React _valueTracker.setValue(String(!target)) + native checked setter + a CLICK event; segment 13 failed because it dispatched 'change' and did not desync the tracker.	—
M-PARAMETERS-05	PASS (name arm; value pending an Apply)	sidebar-pinned-card un-hid to display:block 180x132 and sidebar-pinned-list rendered 'Learning Rate' — the PARAM_DISPLAY_NAMES label for learning_rate. Value column shows '—' because parameters-panel-params-store is fed from applied-params-store and no Apply had run. Re-verified with max_iterations -> 'Maximum Growth Iterations'.	—
M-PARAMETERS-06	PASS	Both arms. Persistence: after a full page reload localStorage['pinned-params-store'] == ["learning_rate"], card display:block, list populated — storage_type='local' confirmed. Uncheck-all: store data [], localStorage [], card display:none, 0 checked boxes. NB a separate defect found here — see F-CANOPY-028 in the evidence note.	—
C2.6-05	PASS (DIVERGENCE D-2 confirmed)	Options are exactly [Zero, Random]. From a clean baseline (Apply disabled after reverting activation to Tanh), selecting Zero->Random left apply-params-button disabled for a full 30s watch — never enabled. Confirms the control is absent from the dirty-tracking Input list (:4390-4424). Its value DOES still travel on Apply: /api/state afterwards reads nn_init_output_weights = random, matching the 28-State gather vs 27-input dirty-tracking asymmetry documented on C2.9-04.	—
C2.6-07	PASS	Radix select, 16 options. Selecting 'Sigmoid' (exact match — the list also contains a lowercase 'sigmoid') enabled apply-params-button in 3.2s from a disabled baseline; reverting to 'Tanh' returned it to disabled in 3.5s. Dirty-tracking Input at :4422 confirmed in both directions.	—
C2.6-10	PASS	Driven with the newly solved dbc.Checkbox gesture (React _valueTracker desync + native checked setter + CLICK event). Toggled false->true and apply-params-button enabled in 10.1s; the value reached the backend — applied-params-store carried nn_multi_node_layers: true. NB the matrix's 'mirrored with the CN twin' wording is imprecise: _sync_multi_node_checkboxes_handler (:6841) is deliberately ONE-directional, cn-multi-candidate-checkbox -> nn only; the nn-triggered branch returns no_update/no_update by design, so no NN->CN mirror is expected. Verified over two 40s+ watches.	—
C2.8-09	PASS	cn-training-complete-radio -> 'convergence' enabled this input (disabled true->false) and disabled cn-training-iterations, per C2.8-07. Set 0.0073 via the native-setter idiom; after Apply, /api/state reads cn_training_convergence_threshold = 0.0073 — full backend round-trip.	—
C2.9-06	PASS	apply-in-flight appeared on the wire and was released to false in the same response that carried 'Parameters applied' — the :3209 release path, not the :3241 watchdog. The dashboard never froze: 1187 _dash-update-component responses across the 120s window spanning the Apply. The two interval 'disabled' Outputs show 0 wire hits because :3213-3226 is a CLIENTSIDE callback and emits no _dash-update-component traffic — expected, not a miss.	—
C2.9-14	PASS	Both arms observed during the M-PARAMETERS-04/05/06 work: display:none while pinned-params-store is empty; display:block 180x132 when the store held ['learning_rate'] and again for ['max_iterations']; back to display:none when the store returned to [].	—
C2.9-15	PASS (name arm; value column '—' pre-Apply)	Read-only rows rendered one per pinned key, using PARAM_DISPLAY_NAMES: 'Learning Rate' for learning_rate and 'Maximum Growth Iterations' for max_iterations. The value column read '—' because parameters-panel-params-store is fed from applied-params-store and no Apply had run at that point.	—
C2.6-14	PASS	nn-growth-trigger-radio -> 'preset_epochs' enabled this input (disabled true->false in 4.7s) and disabled the convergence pair, per C2.6-13. Set 77 via the native-setter idiom; Apply carried it — applied-params-store shows nn_growth_trigger 'preset_epochs' and nn_growth_preset_epochs 77. NB cascor declined this pair (/api/state still reads convergence / 50), the documented declined-key behaviour, not a failure of this control.	—
M-PARAMETERS-07	PASS	After Apply the three tables re-rendered from applied-params-store with nn_/cn_ prefixes stripped: 'Growth Trigger | preset_epochs', 'Growth Preset Epochs | 77', 'Training Convergence Threshold | 0.0073' — both values set in this session — and 'Multi-Node Layers | Enabled' confirming the boolean Enabled/Disabled rendering. Tables show canopy's applied store, so a cascor-declined key (preset epochs) displays canopy's optimistic 77 while /api/state reads 50.	—
C2.7-02	PASS	Set 2.5 via the native-setter idiom, then Apply Dataset; GET /api/status pending_dataset reads rotations: 2.5. Staged, not applied, exactly as the row specifies.	—
C2.7-03	PASS	Set 3 via the native-setter idiom, then Apply Dataset; pending_dataset reads n_spirals: 3.	—
C2.7-06	PASS	Proven in BOTH directions. Selecting the non-spiral generator Circles flipped nn-dataset-typed-fields from display:block to display:none (:2442); selecting Spirals again returned it to display:block. Its content is the 4 spiral-only fields (Rotations / Number / Elements / Noise).	—
C2.7-07	PASS	Options are exactly the 6 registry types with gate annotations rendered inline: Spirals, XOR, 'MNIST — needs juniper-data's optional dataset extra', Circles, Moons, 'Equities (sequence) — needs a 3-D model' (model_registry.py:132-152, default spirals). Selecting Circles re-rendered the schema params (5 inputs) and updated the model hint to 'rank-2 (tabular) models only'.	—
C2.7-08	PASS	Under Circles, 5 pattern-matched inputs appeared: {'name':'n_samples'|'outer_radius'|'factor'|'noise'|'inner_ratio','type':'nn-gen-param'}, each with label+description. Set n_samples=777; after Apply Dataset the staged config reads dataset_type 'circles', params {n_samples: 777, outer_radius: 1, factor: 0.5, noise: 0, inner_ratio: 0.5} — proving apply_dataset reads these ids directly (:4679-4680).	—
C2.7-09	PASS	Click opened pending-dataset-banner (249x163) in 4.5s with the documented text 'Dataset change pending — restart training to apply. / Stop & Restart with new dataset / Cancel pending change', and the staged config landed on the backend. Server-side POST /api/stage_dataset, so zero browser requests — expected. NB the staged payload shape differs by generator: spirals stages FLAT (rotations/n_spirals at top level) while circles nests under params{}.	—
M-METRICS-23	PASS(post-run)	During the run the tile read '--' because /api/metrics/history carries accuracy:null throughout the candidate phase. Post-run (fsm COMPLETED) it reads 96.00%, alongside Training Step 11, Loss 0.0564, Hidden Units 10 / 10, Learning Rate 0.100000. Same post-run shape as the already-scored sibling tiles -21/-22/-24.	—
M-METRICS-27	BLOCKED	LIVE-lane row requiring model-class-store == 'one_shot'. The store is hydrated from GET /api/train/status and defaults to 'live' (dashboard_manager.py:1756, :2344); this session ran a cascade model throughout, so the element correctly stayed display:none 0x0 and the tiles+plots rendered instead. Scoring the shown-instead-of-tiles arm needs a one-shot model selected — not induced this segment.	—
M-METRICS-11	BLOCKED	Replay controls were revealed correctly (display:block h=95) once the run reached COMPLETED, but the replay timeline never materialises: metrics-panel-replay-position is pinned at '0 / 0' and the slider at 0 even though metrics-panel-metrics-store is filling (18 fills/30s, real data e.g. epoch 7601 loss 0.0517). With max_index 0 every index transition clamps to 0, so 'index <- start_index' has no observable. Zero replay-component outputs across 196 responses.	—
M-METRICS-12	BLOCKED	Same as -11: position stayed '0 / 0' across the click, no wire output. 'index -1 (floor 0)' is unobservable while the timeline is empty.	—
M-METRICS-13	BLOCKED	Same blocking cause, but note the one DATA-INDEPENDENT claim also failed: the icon must become ⏸ while playing, and it stayed '▶' across a 4s settle with zero wire outputs. Recorded as BLOCKED rather than FAIL because the whole replay control group is inert under the empty-timeline condition; a segment that gets a populated timeline should re-drive this row FIRST as the discriminator.	—
M-METRICS-14	BLOCKED	Same as -11: position stayed '0 / 0'; 'index +1 (cap max_index)' unobservable with max_index 0.	—
M-METRICS-15	BLOCKED	Same as -11: 'index <- end_index' unobservable; position stayed '0 / 0'.	—
M-METRICS-16	BLOCKED	Speed 1x/2x/4x sets metrics-panel-replay-interval to 1000/500/250 ms. The interval's period is not readable from the DOM (dcc.Interval renders nothing) and no wire output was produced, so DIVERGENCE D-3 (base tick 1000ms not 500ms, :566) could not be confirmed live. Source still reads interval = 1000/speed at :1034-1035.	—
M-METRICS-17	PASS (ships '0 / 0')	Renders the documented shipped value '0 / 0' (metrics_panel.py:1080-1088) both before and after the run completed. The '<current> / <max>' populated arm is unproven — it never left 0/0 — so only the ship-state arm is scored.	—
M-METRICS-18	BLOCKED	updatemode='drag' slider (metrics_panel.py:369 — the one in-metrics slider that commits continuously). Handle reads aria-valuenow 0 and never moved because the 0-100 -> index mapping has no timeline to map onto (max_index 0). Not driven with ArrowRight since the mapping target is empty.	—
